Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S005263;07/03/2020;22:30;CALL. ALCALA;73;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S005249;07/03/2020;18:50;CALL. PRADOLUENGO; 122B;BARAJAS;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;05
2020S005235;07/03/2020;15:00;CALL. PEZ;10;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01
2020S005296;07/03/2020;13:55;CALL. ALCALA / PLAZA. CIBELES;-;CENTRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;
2020S005360;07/03/2020;13:00;PLAZA. VICALVARADA / CALL. VILLABLANCA;-;VICÁLVARO;Colisión frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S005337;08/03/2020;18:45;CALL. OLITE / CALL. AVELINO MONTERO RIOS;-;TETUÁN;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;
2020S005627;09/03/2020;22:45;CALL. CEDACEROS / CALL. ZORRILLA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S005418;09/03/2020;13:45;POSTERIOR VIAL JUNTO PARKING AUTOBUSES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;03
2020S005489;10/03/2020;12:20;PASEO. DELICIAS; 65A;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Mujer;05
2020S005499;11/03/2020;17:30;GTA. CARLOS LLAMAS;0;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;03
2020S005517;11/03/2020;15:40;CALL. GOYA;25;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
2020S005542;12/03/2020;6:50;PLAZA. EMPERADOR CARLOS V;1;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2020S005616;13/03/2020;21:55;CALL. DIEGO DE LEON;55;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;05
